Year,AvgPopulation
1960,117815355.1
1961,119398747.3
1962,121515308
1963,124149974.1
1964,126805610.6
1965,129527518.1
1966,132394615.1
1967,135256593.8
1968,138169470.2
1969,141224635.1
1970,144324563.3
1971,147499355.9
1972,150645132.2
1973,153770194.4
1974,156904241.9
1975,159977824.3
1976,162999031.9
1977,166007584.9
1978,169067630.3
1979,172199941.2
1980,175371016.1
1981,178625304.8
1982,182009251.8
1983,185431856
1984,188850361.5
1985,192335610
1986,195924074.8
1987,199605013.4
1988,203326086.7
1989,207049601
1990,209241092.9
1991,212862623.3
1992,217223347.4
1993,220778412.6
1994,224292767.1
1995,226951546.1
1996,230407568.5
1997,233865822.1
1998,236381856.9
1999,239747536.5
2000,243082134.8
2001,246410264.4
2002,249726275.2
2003,253060634.1
2004,256417275.4
2005,259798692.1
2006,263203007.1
2007,266628021.9
2008,270104353
2009,273612917
2010,277142993.6
2011,280661738.5
2012,285339495.9
2013,289014230.8
2014,292717808.5
2015,296430480.8
2016,300164680.7
2017,303894816.8
2016,300164680.7
2017,303894816.8
