Country,Year,Agriculture,Energy,Industry,Residential,Transport,Waste,Other,total
Afghanistan,1990,0,277.4122,118.8101,918.4148,607.277,0,0,1921.9141
Afghanistan,1991,0,270.1278,129.7491,690.8751,531.4588,0,0,1622.2108
Afghanistan,1992,0,154.5804,141.6256,373.4546,376.1294,0,0,1045.79
Afghanistan,1993,0,151.7126,124.728,325.8062,323.7141,0,0,925.9609
Afghanistan,1994,0,146.3426,147.0716,265.0813,310.3998,0,0,868.8953
Afghanistan,1995,0,119.5816,148.7317,275.2021,310.7176,0,0,854.233
Afghanistan,1996,0,111.9971,148.3851,211.7821,305.0527,0,0,777.217
Afghanistan,1997,0,95.4765,147.5178,235.9465,304.4594,0,0,783.4002
Afghanistan,1998,0,91.6882,145.0774,217.0613,291.3629,0,0,745.1898
Afghanistan,1999,0,101.8636,144.2724,245.8465,280.7938,0,0,772.7763
Afghanistan,2000,0,96.7,147.59,182,269.17,0,0,695.46
Afghanistan,2001,0,101.1,128.38,93.2,260.88,0,0,583.56
Afghanistan,2002,0,87.6,134.49,30.1,250,0,0,502.19
Afghanistan,2003,0,74.2,140.31,22.5,199.59,0,0,436.6
Afghanistan,2004,0,82,144.24,17,229.59,0,0,472.83
Afghanistan,2005,0,84,146.96,54.2,234.96,0,0,520.12
Afghanistan,2006,0,74.2,142.28,51.2,204.15,0,0,471.83
Afghanistan,2007,0,70.2,146.1,94.3,196.53,0,0,507.13
Afghanistan,2008,0,70.3,148.22,103,195.14,0,0,516.66
Afghanistan,2009,0,65.7,150.84,120,182.08,0,0,518.62
Afghanistan,2010,0,61,157.76,136,169.14,0,0,523.9
Africa,1990,1628185,460225.5373,39595.4229,62695.3668,107023.9369,0,0,2297725.264
Africa,1991,1628185,462863.3817,41314.1883,65215.1945,110310.1595,0,0,2307887.924
Africa,1992,1628185,481372.0038,41246.4075,66965.4996,116504.6535,0,0,2334273.564
Africa,1993,1628185,473999.2566,40958.5244,72012.8276,116157.7762,0,0,2331313.385
Africa,1994,1628185,465786.6209,41082.95,72998.8213,118042.609,0,0,2326096.001
Africa,1995,1628185,492819.9597,42480.9793,74558.0603,123798.8598,0,0,2361842.859
Africa,1996,1665852,520751.9066,47817.7447,73908.4448,127815.6367,0,0,2436145.733
Africa,1997,1633176,533421.9415,50610.7256,74883.0442,131117.3778,0,0,2423209.089
Africa,1998,1673905,545006.5353,50168.3669,74216.6961,138694.3697,0,0,2481990.968
Africa,1999,1618501,530513.2003,52022.7758,76419.4219,145422.3309,0,0,2422878.729
Africa,2000,1630286,549756.2228,53462.7933,76431.5,149613.0213,0,0,2459549.537
Africa,2001,1508925,532609.6223,56464.2918,85210.2,153864.2547,0,0,2337073.369
Africa,2002,1607162,543979.4999,59262.8359,89303,159524.2265,0,0,2459231.562
Africa,2003,1531154,583278.4818,60047.9821,92709.3,167388.7107,0,0,2434578.475
Africa,2004,1577914,606566.1362,64124.2387,98738.97,178047.2147,0,0,2525390.56
Africa,2005,1626267,620243.7786,66612.3929,107128.3,185352.0125,0,0,2605603.484
Africa,2006,1468285,622925.9732,71628.1998,111235.94,189331.4162,0,0,2463406.529
Africa,2007,1470595,631022.6814,73387.566,113118.7,200003.375,0,0,2488127.322
Africa,2008,1485220,623545.5817,74798.2584,120535.6,212311.4783,0,0,2516410.918
Africa,2009,1498577,594970.5728,75303.9314,113433.6,232125.5356,0,0,2514410.64
Africa,2010,1456496,614781.9539,82162.3533,104107.9,213526.42,0,0,2471074.627
Albania,1990,121,2924.7909,531.5534,2102.8101,718.5684,1.2441,0,6399.9669
Albania,1991,121,2008.9023,343.6323,1330.2999,541.8246,1.1361,0,4346.7952
Albania,1992,121,1156.0769,162.28,579.6248,416.8524,1.1324,0,2436.9665
Albania,1993,121,1072.3194,177.3608,394.6873,516.0022,1.1972,0,2282.5669
Albania,1994,121,1138.9575,199.2575,335.422,643.7355,1.2639,0,2439.6364
Albania,1995,121,891.3623,196.1642,330.2491,634.7268,1.3331,0,2174.8355
Albania,1996,121,783.001,180.4109,463.9083,630.8238,1.4086,0,2180.5526
Albania,1997,121,561.3776,148.4642,380.7151,498.0707,1.3866,0,1711.0142
Albania,1998,121,637.974,120.8963,300.0517,750.8032,1.4859,0,1932.2111
Albania,1999,121,768.9531,144.9111,810.8697,1422.6851,1.5802,0,3269.9992
Albania,2000,121,812.088,125.58,835,1487,1.67,0,3382.338
Albania,2001,890,853.173,189.92,881,1567,1.76,0,4382.853
Albania,2002,889,792.276,260.51,1270,1788.1,1.83,0,5001.716
Albania,2003,891,776.331,344.14,1210,1949.3,1.92,0,5172.691
Albania,2004,889,739.84,358.29,881,1820,2.02,0,4690.15
Albania,2005,889,824.11,308.64,1170,2384,2.12,0,5577.87
Albania,2006,-210,1027.25,344.79,1040,1930,2.18,0,4134.22
Albania,2007,-198,888.41,499.35,879,2124.8,2.25,0,4195.81
Albania,2008,-209,820.45,509.91,649,2344,2.32,0,4116.68
Albania,2009,-211,717.06,488.86,597,2376.5,2.39,0,3970.81
Albania,2010,-211,865.98,534.51,668,2393.2,2.46,0,4253.15
